geneID	10m	20m	30m	40m	50m	60m	80m	100m	120m	160m	geneName	function
YIR024C	0.4	0.7	0.47	0.8	0.46	0	-0.13	-0.36	-0.19	-0.07	INA22	"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; interacts with Arh1p, a mitochondrial oxidoreductase; deletion mutant has a respiratory growth defect"
YIR025W	-0.93	-1	-0.81	-0.94	-0.73	-0.37	-0.3	-0.24	-0.29	-0.24	MND2	Subunit of the anaphase-promoting complex (APC); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase
YIR026C	-0.55	0.14	-0.65	-1.43	-0.11	-0.37	-0.04	-0.4	-0.3	-0.26	YVH1	"Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation; mutants are defective in 60S ribosome assembly; member of the dual-specificity family of protein phosphatases"
YIR027C	-1.02	-1.01	-0.55	0.42	-0.58	0.11	0.1	0.27	0.33	0.33	DAL1	"Allantoinase, converts allantoin to allantoate in the first step of allantoin degradation; expression sensitive to nitrogen catabolite repression"
YIR028W	-0.28	0.05	-0.25	-0.89	0.12	-0.1	0.09	-0.24	-0.18	-0.02	DAL4	"Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"
YIR029W	-0.72	-0.08	-1.07	-0.3	-0.67	-0.02	-0.11	-0.16	-0.06	-0.11	DAL2	"Allantoicase, converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"
YIR030C	0.15	-0.09	0.12	-0.06	0.4	0.07	0.19	0.01	0.02	0.19	DCG1	"Protein of unknown function, expression is sensitive to nitrogen catabolite repression and regulated by Dal80p; contains transmembrane domain"
YIR031C	-0.27	0.32	-1.34	-0.34	-0.19	-0.01	-0.15	-0.06	0.07	-0.05	DAL7	"Malate synthase, role in allantoin degradation unknown; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"
YIR032C	-0.43	-0.65	0.13	-0.11	-0.12	0	0.16	0.13	0.13	0.04	DAL3	"Ureidoglycolate hydrolase, converts ureidoglycolate to glyoxylate and urea in the third step of allantoin degradation; expression sensitive to nitrogen catabolite repression"
YIR033W	-0.51	0.43	0.25	-0.54	0.7	0.49	0.39	0.11	0.22	-0.32	MGA2	"ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting"
YIR034C	0.75	0.48	0.82	1.3	0.98	1.35	0.4	0.58	0.51	-0.14	LYS1	"Saccharopine dehydrogenase (NAD+, L-lysine-forming), catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity"
YIR035C	0.2	0.31	0.32	-0.62	0.38	0.32	-0.06	0.03	0.25	0.04	NRE1	Putative cytoplasmic protein of unknown function
YIR036C	0.32	0.15	0.01	0.29	0.19	0.53	-0.12	0.08	0.05	-0.43	IRC24	Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutant has increased spontaneous Rad52p foci
YIR037W	1.16	0.96	1.08	0.98	1.69	1.49	0.61	0.27	0.64	0.18	HYR1	Thiol peroxidase that functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor
YIR038C	0.93	1.7	2.03	2.33	2.74	2.3	1.26	0.82	0.78	0.21	GTT1	"ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p"
YIR039C	0.36	0.81	0.9	0.83	1.7	1.51	0.62	0.48	0.69	0.22	YPS6	"Putative GPI-anchored aspartic protease, member of the yapsin family of proteases involved in cell wall growth and maintenance"
YIR040C	0.66	0.78	0.74	0.06	1.05	1.03	0.21	0.24	0.22	-0.19	YIR040C	"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data"
YIR041W	0.2	0.54	0.52	-0.23	0.76	0.78	0.27	0.04	0.4	-0.08	PAU15	"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions"
YIR042C	0.4	-0.58	0.11	-0.81	0.89	0.12	-0.05	0.03	0.07	-0.36	YIR042C	Putative protein of unknown function; YIR042C is a non-essential gene
YIR043C	0.38	1.01	0.93	1.26	0.68	0.58	0.38	0.29	0.58	0.17	YIR043C	"Possible pseudogene in strain S288C; YIR043C and the adjacent ORF, YIR044C, together may encode a non-functional member of the conserved, often subtelomerically-encoded Cos protein family"
YIR044C	0.94	0.79	1.02	1.1	0.76	0.56	-0.13	1.54	0.46	-0.8	YIR044C	"Possible pseudogene in strain S288C; YIR044C and the adjacent ORF, YIR043C, together may encode a non-functional member of the conserved, often subtelomerically-encoded Cos protein family"
YJL001W	0.68	0.97	1.04	0.16	1.19	0.7	-0.15	-0.21	-0.04	-0.35	PRE3	"Beta 1 subunit of the 20S proteasome, responsible for cleavage after acidic residues in peptides"
YJL002C	0.19	0.16	0.4	-0.04	0.42	0.17	-0.47	-0.44	-0.12	-0.51	OST1	"Alpha subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins"
YJL003W	0.65	1.22	0.9	0.81	0.44	0.3	-0.09	-0.2	0.06	-0.33	COX16	"Mitochondrial inner membrane protein, required for assembly of cytochrome c oxidase"
YJL004C	0.45	0.71	0.62	1.21	0.43	0.31	-0.25	-0.19	0.15	-0.55	SYS1	Integral membrane protein of the Golgi required for targeting of the Arf-like GTPase Arl3p to the Golgi; multicopy suppressor of ypt6 null mutation
YJL005W	0.17	0.53	0.31	0.63	0.32	0.14	-0.11	0.1	0.02	-0.35	CYR1	"Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"
YJL006C	-0.38	-0.15	-0.09	-0.32	0.19	0.15	-0.39	-0.37	-0.14	-0.63	CTK2	"Beta subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and ribosomal protein Rps2p to increase translational fidelity"
YJL007C	0.28	0.59	-0.24	-0.43	-0.17	0.32	-0.3	0.1	0.28	-0.38	YJL007C	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YJL008C	0.33	0.4	0.44	0.32	0.5	0.26	-0.52	-0.19	-0.25	-0.73	CCT8	"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
YJL009W	0.21	-0.06	0.34	-0.34	-0.16	0.01	-0.34	-0.26	-0.13	-0.58	YJL009W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps CCT8/YJL008C, a verified gene encoding a subunit of the cytosolic chaperonin Cct ring complex"
YJL010C	-0.27	-0.32	-0.34	-2.25	-0.25	-0.2	-0.49	-0.23	-0.24	-0.56	NOP9	Essential subunit of U3-containing 90S preribosome involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain
YJL011C	-0.79	-0.96	-0.6	-0.84	-0.24	-0.18	-0.3	-0.36	-0.14	-0.54	RPC17	"RNA polymerase III subunit C17; physically interacts with C31, C11, and TFIIIB70; may be involved in the recruitment of pol III by the preinitiation complex"
YJL012C	0.06	-0.37	0.1	-0.1	0.75	0.5	-0.4	-0.09	-0.06	-0.76	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion
YJL013C	-0.34	-0.35	-0.51	-0.56	-0.37	-0.05	0.14	-0.16	0.05	0.23	MAD3	"Subunit of the spindle-assembly checkpoint complex, which delays anaphase onset in cells with defects in mitotic spindle assembly; pseudosubstrate inhibitor of APC(Cdc20), the anaphase promoting complex involved in securin (Pds1p) turnover"
YJL014W	-0.2	-0.28	-0.15	0.12	0.24	-0.04	-0.13	-0.18	-0.27	0.04	CCT3	"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
YJL015C	0.1	0.67	1.24	2.07	0.72	0.69	0.89	0.42	0.7	0.76	YJL015C	"Dubious open reading frame unlikely to encode a functional protein; expression if heat-inducible; located in promoter region of essential CCT3 gene encoding a subunit of the cytosolic chaperonin Cct ring complex, overlaps ORF YJL016W"
YJL016W	0.01	0.85	1.15	2.16	0.59	0.47	0.33	0.35	0.19	0.32	TPH3	Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; conserved in closely related Saccharomyces species
YJL017W	0.04	0.66	1.6	1.53	1.1	0.87	0.81	0.59	0.65	0.75	YJL017W	Hypothetical ORF
YJL019W	0.05	0.28	0.16	-0.54	0.23	0.08	0.22	0.3	0.3	0.37	MPS3	Nuclear envelope protein required for SPB duplication and nuclear fusion; localizes to the SPB half bridge and at telomeres during meiosis; required with Ndj1p and Csm4p for meiotic bouquet formation and telomere-led rapid prophase movement
YJL020C	0.15	0.45	0.59	0.24	0.31	0.04	0.41	0.22	0.18	0.3	BBC1	Protein possibly involved in assembly of actin patches; interacts with an actin assembly factor Las17p and with the SH3 domains of Type I myosins Myo3p and Myo5p; localized predominantly to cortical actin patches
YJL022W	0.17	0.55	0.25	0.63	0.17	0.06	0.27	0.07	0.23	0.26	YJL022W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene PET130"
YJL023C	0.26	0.6	0.15	0.56	0.18	0.21	0.36	0.33	0.3	0.34	PET130	"Protein required for respiratory growth; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YJL024C	-0.04	0.2	0.22	0.21	0.09	0.13	0.24	-0.06	0.08	0.06	APS3	"Small subunit of the clathrin-associated adaptor complex AP-3, which is involved in vacuolar protein sorting; related to the sigma subunit of the mammalian clathrin AP-3 complex; suppressor of loss of casein kinase 1 function"
YJL025W	-1.35	-1.19	-1.22	-0.97	-0.44	-0.44	-0.01	0.04	-0.02	0.01	RRN7	"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p"
YJL026W	-0.14	1.29	1.2	1.05	2.14	1.96	1.75	1.12	1.31	1.26	RNR2	"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits"
YJL027C	-0.48	-0.21	-0.72	-0.76	-0.37	-0.31	-0.03	0.02	0.14	0.21	YJL027C	Putative protein of unknown function
YJL028W	0.32	0.43	0.31	-0.43	1.52	1.73	1.19	0.59	1.09	0.45	YJL028W	"Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
YJL029C	-0.19	-0.37	-0.45	-0.79	-0.17	-0.19	0.09	0.16	0.01	0.11	VPS53	"Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; required for vacuolar protein sorting"
YJL030W	-0.06	0.16	-0.18	-0.17	0.83	0.6	0.36	-0.25	0.18	0.32	MAD2	Component of the spindle-assembly checkpoint complex; delays the onset of anaphase in cells with defects in mitotic spindle assembly; forms a complex with Mad1p; regulates APC/C activity during prometaphase and metaphase of meiosis I
YJL031C	1.23	1.49	1.44	0.45	0.44	0.42	0.24	0.26	0.21	0.43	BET4	Alpha subunit of Type II geranylgeranyltransferase required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p
YJL032W	0.9	1.48	1.43	2.4	-0.68	0.56	0.39	-0.07	0.23	0.33	YJL032W	Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential BET4 gene encoding the alpha subunit of Type II geranylgeranyltransferase
YJL033W	-0.01	0	-0.06	-1.79	-0.39	-0.18	0.07	-0.03	0.08	0.12	HCA4	Putative nucleolar DEAD box RNA helicase; high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis
YJL034W	0.1	0.74	0.58	0.1	-0.07	-0.45	-0.6	-0.86	-0.38	-0.25	KAR2	"ATPase involved in protein import into the ER, also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p"
YJL035C	0.41	0.34	0.28	-0.47	-0.13	-0.14	0.24	0.01	0.12	0.18	TAD2	"Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad3p that converts adenosine to inosine at the wobble position of several tRNAs"
YJL036W	1.57	1.77	0.93	1.09	0.7	0.3	-0.03	0.01	-0.12	-0.45	SNX4	"Sorting nexin, involved in retrieval of late-Golgi SNAREs from post-Golgi endosomes to the trans-Golgi network and in cytoplasm to vacuole transport; contains a PX phosphoinositide-binding domain; forms complexes with Snx41p and with Atg20p"
YJL037W	-0.39	0.87	0.17	0.75	0.01	0.07	0.3	0.53	0.57	0.35	IRC18	"Putative protein of unknown function; expression induced in respiratory-deficient cells and in carbon-limited chemostat cultures; similar to adjacent ORF, YJL038C; null mutant displays increased levels of spontaneous Rad52p foci"
YJL038C	-0.24	-0.39	0.26	0.96	-0.24	-0.12	0.15	0.48	0.2	0.39	LOH1	Protein of unknown function with proposed roles in maintenance of genome integrity and also in spore wall assembly; induced during sporulation; repressed during vegetative growth by Sum1p and Hst1p; sequence similar to IRC1
YJL039C	0.23	-0.17	-0.14	-0.7	-0.15	-0.17	-0.11	0.07	-0.04	0.05	NUP192	"Essential structural subunit of the nuclear pore complex (NPC), localizes to the nuclear periphery of nuclear pores, homologous to human p205"
YJL041W	-0.26	-0.46	-0.21	-0.27	-0.29	-0.25	0.01	0.22	-0.06	0.18	NSP1	"Essential component of the nuclear pore complex, which mediates nuclear import and export, found in both the Nup82 and Nic96 complexes"
YJL042W	-0.06	0.07	0.56	0.93	0.25	0.04	0.2	0.45	0.19	0.15	MHP1	Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins
YJL043W	-0.22	-0.45	-0.42	-0.34	-0.57	-0.49	-0.38	0.19	-0.1	-0.14	YJL043W	Putative protein of unknown function; YJL043W is a non-essential gene
YJL044C	-0.15	-0.55	-0.29	-0.07	-0.26	-0.2	-0.11	0.01	-0.06	0.02	GYP6	"GTPase-activating protein (GAP) for the yeast Rab family member, Ypt6p; involved in vesicle mediated protein transport"
YJL045W	-0.43	-0.07	-0.34	0.25	-0.15	-0.04	0.37	0.77	0.47	0.46	YJL045W	"Minor succinate dehydrogenase isozyme; homologous to Sdh1p, the major isozyme reponsible for the oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner"
YJL046W	0.75	0.4	1.01	1.47	0.21	0.1	0.16	0.24	0.26	0.41	AIM22	"Putative lipoate-protein ligase, required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss"
YJL047C	0.14	-0.06	-0.14	0.7	-0.24	-0.16	-0.09	0.04	0	0.12	RTT101	"Cullin subunit of a Roc1p-dependent E3 ubiquitin ligase complex with a role in anaphase progression; implicated in Mms22-dependent DNA repair; involved with Mms1p in nonfunctional rRNA decay; modified by the ubiquitin-like protein, Rub1p"
YJL048C	0.69	0.05	0.32	0.7	0.34	0.92	1.13	1.17	1.23	1.38	UBX6	"UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p, transcription is repressed when cells are grown in media containing inositol and choline"
YJL049W	0.34	0.25	-0.02	1.25	-0.14	0.1	-0.16	0.29	-0.04	-0.09	CHM7	Putative protein of unknown function; YJL049W is a non-essential gene
YJL050W	-0.18	-0.5	-0.78	-0.76	-0.42	-0.27	-0.13	0.14	-0.11	-0.15	MTR4	"ATP-dependent 3'-5' RNA helicase of the Dead-box family, involved in nuclear RNA processing and degradation both as a component of the TRAMP complex and in TRAMP independent processes; has a KOW domain that shows RNA binding activity"
YJL051W	-0.55	-0.78	-0.71	-1.36	-0.54	-0.83	-0.36	-0.06		-0.21	IRC8	"Bud tip localized protein of unknown function; mRNA is targeted to the bud by a She2p dependent transport system; mRNA is cell cycle regulated via Fkh2p, peaking in G2/M phase; null mutant displays increased levels of spontaneous Rad52p foc"
YJL052W	0.09	0.11	0.33	-0.04	-0.08	0.25	0.24	0.03	0.1	0.34	TDH1	"Glyceraldehyde-3-phosphate dehydrogenase, isozyme 1, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall"
YJL053W	0.15	-0.11	0.47	0.55	0.39	0.23	0.01	0.07	-0.76	-0.11	PEP8	"Vacuolar protein sorting protein that forms part of the multimeric membrane-associated retromer complex along with Vps35p, Vps29p, Vps17p, and Vps5p; essential for endosome-to-Golgi retrograde protein transport"
YJL054W	-0.07	-0.37	-0.4	-0.12	-0.31	0.15	0.08	-0.07	-0.12	0.25	TIM54	Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane
YJL055W	-0.19	-0.8	-0.12	0.1	0.07	0.11	-0.08	0.06	0.07	-0.07	LOG1	"Putative protein of unknown function, proposed to be involved in the metabolism of purine and pyrimidine base analogues; deletion mutants are sensitive to HAP and AHA; overexpression confers resistance to 5-FOA and 5-FU"
YJL056C	0.06	-0.2	-1.36	-0.27	-0.22	0.03	0.06	0.14	-0.01	0.14	ZAP1	"Zinc-regulated transcription factor; binds to zinc-responsive promoters to induce transcription of certain genes in presence of zinc, represses other genes in low zinc; regulates its own transcription; contains seven zinc-finger domains"
YJL057C	0.86	1.06	0.81	0.87	0.81	0.46	0.23	0.16	-0.17	0.03	IKS1	Putative serine/threonine kinase; expression is induced during mild heat stress; deletion mutants are hypersensitive to copper sulphate and resistant to sorbate; interacts with an N-terminal fragment of Sst2p
YJL058C	-0.13	-0.46	-0.21	-0.47	-0.28	-0.03	0.07	0.05	0.02	0.12	BIT61	"Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p-Slm1p-Slm2p), a membrane-associated complex that regulates cell cycle-dependent actin cytoskeletal dynamics during polarized growth and cell wall integrity"
YJL059W	-0.13	-0.08	0.1	-0.43	0.51	0.01	0.06	0.18	-0.23	-0.12	YHC3	Vacuolar membrane protein involved in the ATP-dependent transport of arginine into the vacuole and possibly in balancing ion homeostasis; homolog of human CLN3 involved in Batten disease (juvenile onset neuronal ceroid lipofuscinosis)
YJL060W	0.21	0.17	-0.01	-0.18	0.24	0.28	0.11	0.33	0.02	-0.05	BNA3	"Kynurenine aminotransferase, catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate"
YJL061W	-0.06	-0.13	-0.06	0.66	0	-0.15	-0.39	-0.15	0.05	-0.2	NUP82	"Nucleoporin, subunit of the nuclear pore complex (NPC); forms a subcomplex with Gle2p, Nup159p, Nsp1p, and Nup116p and is required for proper localization of Nup116p in the NPC"
YJL062W	-0.61	-0.4	-0.45	-0.44	-0.41	-0.19	-0.28	-0.08	-0.14	-0.08	LAS21	Integral plasma membrane protein involved in the synthesis of the glycosylphosphatidylinositol (GPI) core structure; mutations affect cell wall integrity
YJL063C	-0.71	-0.1	-0.15	-0.42	-0.53	-0.34	-0.27	-0.12	0.02	0.15	MRPL8	Mitochondrial ribosomal protein of the large subunit
YJL064W	-0.28	-0.21	-0.39	-0.89	-0.36	0.03	-0.25	0.01	-0.14	-0.12	YJL064W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL065C/DLS1"
YJL065C	-1.01	-0.37	-0.38	-0.62	-0.57	0.02	-0.33	-0.45	-0.34	-0.29	DLS1	"Subunit of ISW2/yCHRAC chromatin accessibility complex along with Itc1p, Isw2p, and Dpb4p; involved in inheritance of telomeric silencing"
YJL066C	0.25	0.36	0.43	-0.12	0.07	0.31	0.24	0.34	0.2	0.36	MPM1	"Mitochondrial membrane protein of unknown function, contains no hydrophobic stretches"
YJL067W	-0.38	-0.02	-0.25	0.6	-0.14	0.04	0.11	-0.07	-0.04	0.08	YJL067W	"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YJL068C	-0.07	-0.05	0.39	0.7	0.26	0.69	0.42	0.16	0.16	0.22	YJL068C	"Non-essential intracellular esterase that can function as an S-formylglutathione hydrolase; may be involved in the detoxification of formaldehyde, which can be metabolized to S-formylglutathione; similar to human esterase D"
YJL069C	-2.12	-1.48	-2.08	-1.18	-0.84	-0.52	-0.32	-0.43	-0.45	-0.45	UTP18	"Possible U3 snoRNP protein involved in maturation of pre-18S rRNA, based on computational analysis of large-scale protein-protein interaction data"
YJL070C	0.23	-0.06	0.51		0.38	0.28	0.19	0.42	0.25	0.06	YJL070C	"Putative protein of unknown function with similarity to AMP deaminases; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YJL070C is a non-essential gene"
YJL071W	-0.02	-0.05	-0.18	0.06	0.09	-0.12	0.01	-0.23	-0.07	0.03	ARG2	"Acetylglutamate synthase (glutamate N-acetyltransferase), mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p"
YJL072C	-0.02	0.19	0.04	-0.43	-0.07	-0.08	0.16	-0.04	-0.01	0	PSF2	"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"
YJL073W	-0.46	-0.4	-0.52	0.25	-0.02	-0.11	-0.06	-0.05	-0.02	-0.07	JEM1	"DnaJ-like chaperone required for nuclear membrane fusion during mating, localizes to the ER membrane; exhibits genetic interactions with KAR2"
YJL074C	-0.33	-0.19	-0.44	-0.89	-0.05	-0.11	-0.12	0	-0.02	0.15	SMC3	"Subunit of the multiprotein cohesin complex required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
YJL075C	-0.64	-0.79	-0.67	-0.12	-0.15	-0.49	-0.17	-0.13	-0.24	-0.32	YJL075C	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 85% of ORF overlaps the verified gene NET1; null mutant is sensitive to sorbate"
YJL076W	-0.41	-0.27	-0.75	-0.86	-0.55	-0.44	-0.21	-0.18	-0.2	-0.17	NET1	"Core subunit of the RENT complex, which is a complex involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure"
YJL077C	0.08	0.39	0.33	1.13	0.33	-0.23	-0.04	-0.13	-0.08	-0.06	ICS3	"Protein of unknown function; may play a role in vacuolar sorting, null mutants are hypersensitive to sortin2"
YJL078C	-0.35	0.04	-0.48	-0.71	-0.6	-0.53	-0.8	-0.44	-0.36	-0.5	PRY3	"Cell wall protein with a role in mating efficiency; expression of full-length transcript is daughter cell-specific; in response to alpha factor, a short transcript starting at +452 is expressed and the long form is repressed by Ste12p"
YJL079C	-0.68	0.09	-0.08	-0.09	0.16	-0.31	0.3	0.35	0.36	0.27	PRY1	Protein of unknown function
YJL080C	-0.4	-0.2	-0.53	-0.84	-0.42	-0.25	-0.1	-0.14	-0.06	-0.05	SCP160	"Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins"
YJL081C	-0.6	-0.18	-0.68	-0.32	0.06	-0.35	-0.07	-0.38	-0.27	-0.22	ARP4	"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes"
YJL082W	0.31	0.06	-0.12	-0.38	0.17	-0.16	-0.03	0.03	0.3	0.01	IML2	"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YJL083W	-0.75	-0.2	-0.61	-0.3	-0.16	-0.47	-0.14	-0.32	-0.3	-0.44	TAX4	"EH domain-containing protein involved in regulating phosphatidylinositol 4,5-bisphosphate levels and autophagy; Irs4p and Tax4p bind and activate the PtdIns phosphatase Inp51p; Irs4p and Tax4p are involved in localizing Atg17p to the PAS"
YJL084C	0.11	0.24	-0.02	-0.27	-0.4	-0.14	0	-0.02	0.15	0.06	ALY2	Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; phosphorylated by Npr1p and also by cyclin-CDK complex Pcl7p-Pho85p; promotes endocytosis of plasma membrane proteins
YJL085W	0.03	0.13	0.02	0.53	0.37	-0.2	0.02	0.11	-0.02	-0.17	EXO70	"Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which directs secretory vesicles to active sites of exocytosis; acts with Sec3p in membrane targeting of the exocyst via PI(4,5)P2 binding"
YJL086C	0.77			0.46							YJL086C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified genes YJL085W/EXO70 and YJL087C/TRL1"
YJL087C		0.14	0.01	0.03	0.08	-0.12		-0.76			TRL1	"tRNA ligase, required for tRNA splicing and for both splicing and translation of HAC1 mRNA in the UPR; has phosphodiesterase, polynucleotide kinase, and ligase activities; localized at the inner nuclear envelope and partially to polysomes"
YJL088W	0.56	1.89	1.83	2.01	1.58	1.35	0.37	0.37	0.46	-0.34	ARG3	"Ornithine carbamoyltransferase (carbamoylphosphate:L-ornithine carbamoyltransferase), catalyzes the sixth step in the biosynthesis of the arginine precursor ornithine"
YJL089W		1.74	1.73	1.46	1.31	2.04					SIP4	C6 zinc cluster transcriptional activator that binds to the carbon source-responsive element (CSRE) of gluconeogenic genes; involved in the positive regulation of gluconeogenesis; regulated by Snf1p protein kinase; localized to the nucleus
YJL090C	1.62	0.15	0.34	-0.54	-0.17	-0.01		-0.03	-0.06		DPB11	Replication initiation protein that loads DNA pol epsilon onto pre-replication complexes at origins; checkpoint sensor recruited to stalled replication forks by the checkpoint clamp complex where it activates Mec1p; ortholog of human TopBP1
YJL091C	0.51	0.14	0.1	-0.57	-0.23	0.01	-0.43	-0.4	-0.34	-0.54	GWT1	"Protein involved in the inositol acylation of glucosaminyl phosphatidylinositol (GlcN-PI) to form glucosaminyl(acyl)phosphatidylinositol (GlcN(acyl)PI), an intermediate in the biosynthesis of glycosylphosphatidylinositol (GPI) anchors"
YJL092W	0.67	0.08	0.16	0.82	-0.18	-0.04	-0.3	-0.34	0.07	-0.38	SRS2	"DNA helicase and DNA-dependent ATPase involved in DNA repair, needed for proper timing of commitment to meiotic recombination and transition from Meiosis I to II; blocks trinucleotide repeat expansion; affects genome stability"
YJL093C	0	0.24	-0.04	0.06	0.57	0.44					TOK1	"Outward-rectifier potassium channel of the plasma membrane with two pore domains in tandem, each of which forms a functional channel permeable to potassium; carboxy tail functions to prevent inner gate closures; target of K1 toxin"
YJL094C	1.04	0.46	0.45	0.51	0.24	0.12	-0.49	-0.08	-0.07	-0.54	KHA1	"Putative K+/H+ antiporter with a probable role in intracellular cation homeostasis, localized to Golgi vesicles and detected in highly purified mitochondria in high-throughput studies"
YJL095W		0.46	0.39	-1.18	0.45	0.51					BCK1	"Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p"
